scenario,year,sites,annual_revenue,net_profit,profit_margin
pessimistic,1,3,4032.0,-14567.999999999996,-3.6130952380952372
pessimistic,2,5,6720.0,-14280.0,-2.125
pessimistic,3,6,8064.0,-17135.999999999993,-2.124999999999999
realistic,1,5,14400.0,-19600.0,-1.3611111111111112
realistic,2,10,28800.0,-19200.0,-0.6666666666666666
realistic,3,15,43200.0,-28800.0,-0.6666666666666666
optimistic,1,8,46656.0,-12544.0,-0.26886145404663925
optimistic,2,15,87480.0,6480.0,0.07407407407407407
optimistic,3,25,145800.0,10800.0,0.07407407407407407
