query,current_pos,target_pos,impressions,current_clicks,potential_clicks,click_uplift,monthly_revenue_uplift
virtual therapy ontario,84.73,1,412,0,130.192,130.192,790.9164000000001
online therapy burlington,30.5,1,335,0,105.86,105.86,643.0995
virtual therapy ontario,84.73,3,412,0,87.344,87.344,530.6148
online therapy burlington,30.5,3,335,0,71.02,71.02,431.4465
burlington online therapy,16.75,1,199,0,62.884,62.884,382.0203
virtual therapy ontario,84.73,5,412,0,42.436,42.436,257.7987
burlington online therapy,16.75,3,199,0,42.187999999999995,42.187999999999995,256.2921
online therapy burlington,30.5,5,335,0,34.504999999999995,34.504999999999995,209.61787499999997
life transitions,65.73,1,94,0,29.704,29.704,180.45180000000002
burlington online therapy,16.75,5,199,0,20.497,20.497,124.51927500000001
virtual counselling ontario,85.38,1,64,0,20.224,20.224,122.86080000000001
life transitions,65.73,3,94,0,19.928,19.928,121.0626
virtual therapy ontario,84.73,10,412,0,17.304000000000002,17.304000000000002,105.12180000000002
life transitions counselling,98.69,1,51,0,16.116,16.116,97.9047
ontario virtual therapy,77.56,1,50,0,15.8,15.8,95.98500000000001
therapy for remote workers,6.31,1,48,0,15.168,15.168,92.1456
online therapist burlington,46.98,1,45,0,14.22,14.22,86.38650000000001
online therapy burlington,30.5,10,335,0,14.07,14.07,85.47525
in-person therapy burlington,69.07,1,44,0,13.904,13.904,84.4668
virtual counselling ontario,85.38,3,64,0,13.568,13.568,82.4256
life transitions therapy,85.29,1,42,0,13.272,13.272,80.62740000000001
jesse cynamon,2.36,1,56,5,17.696,12.696000000000002,77.1282
online therapy ontario,93.97,1,39,0,12.324,12.324,74.8683
life transitions counselling,98.69,3,51,0,10.812,10.812,65.6829
depression therapy ottawa,91.06,1,34,0,10.744,10.744,65.2698
ontario virtual therapy,77.56,3,50,0,10.6,10.6,64.395
therapy for remote workers,6.31,3,48,0,10.176,10.176,61.8192
life transitions,65.73,5,94,0,9.681999999999999,9.681999999999999,58.818149999999996
online therapist burlington,46.98,3,45,0,9.54,9.54,57.955499999999994
young adult therapy,69.63,1,30,0,9.48,9.48,57.591
in-person therapy burlington,69.07,3,44,0,9.328,9.328,56.6676
work stress therapy,80.79,1,29,0,9.164,9.164,55.6713
life transitions therapy,85.29,3,42,0,8.904,8.904,54.0918
anxiety therapy mississauga,56.04,1,28,0,8.848,8.848,53.7516
burlington online therapy,16.75,10,199,0,8.358,8.358,50.77485000000001
online therapy ontario,93.97,3,39,0,8.267999999999999,8.267999999999999,50.2281
online counselling ontario,96.7,1,23,0,7.268,7.268,44.1531
i am anxious all the time,82.61,1,23,0,7.268,7.268,44.1531
depression therapy ottawa,91.06,3,34,0,7.208,7.208,43.7886
next step counselling,15.09,1,22,0,6.952,6.952,42.2334
performance anxiety therapy,53.14,1,21,0,6.636,6.636,40.313700000000004
virtual counselling ontario,85.38,5,64,0,6.592,6.592,40.0464
young adult therapy,69.63,3,30,0,6.359999999999999,6.359999999999999,38.637
work stress therapy,80.79,3,29,0,6.148,6.148,37.3491
anxiety therapy mississauga,56.04,3,28,0,5.936,5.936,36.0612
life transitions counselling,98.69,5,51,0,5.253,5.253,31.911975
ontario virtual therapy,77.56,5,50,0,5.1499999999999995,5.1499999999999995,31.28625
therapy for remote workers,6.31,5,48,0,4.944,4.944,30.0348
online counselling ontario,96.7,3,23,0,4.8759999999999994,4.8759999999999994,29.621699999999997
i am anxious all the time,82.61,3,23,0,4.8759999999999994,4.8759999999999994,29.621699999999997
next step counselling,15.09,3,22,0,4.664,4.664,28.3338
online therapist burlington,46.98,5,45,0,4.635,4.635,28.157625
in-person therapy burlington,69.07,5,44,0,4.532,4.532,27.5319
performance anxiety therapy,53.14,3,21,0,4.452,4.452,27.0459
life transitions therapy,85.29,5,42,0,4.326,4.326,26.28045
online therapy ontario,93.97,5,39,0,4.0169999999999995,4.0169999999999995,24.403274999999997
life transitions,65.73,10,94,0,3.9480000000000004,3.9480000000000004,23.9841
depression therapy ottawa,91.06,5,34,0,3.502,3.502,21.274649999999998
young adult therapy,69.63,5,30,0,3.09,3.09,18.77175
work stress therapy,80.79,5,29,0,2.9869999999999997,2.9869999999999997,18.146024999999998
anxiety therapy mississauga,56.04,5,28,0,2.884,2.884,17.5203
virtual counselling ontario,85.38,10,64,0,2.688,2.688,16.329600000000003
online counselling ontario,96.7,5,23,0,2.3689999999999998,2.3689999999999998,14.391675
i am anxious all the time,82.61,5,23,0,2.3689999999999998,2.3689999999999998,14.391675
next step counselling,15.09,5,22,0,2.266,2.266,13.76595
performance anxiety therapy,53.14,5,21,0,2.163,2.163,13.140225
life transitions counselling,98.69,10,51,0,2.1420000000000003,2.1420000000000003,13.012650000000002
ontario virtual therapy,77.56,10,50,0,2.1,2.1,12.7575
online therapist burlington,46.98,10,45,0,1.8900000000000001,1.8900000000000001,11.481750000000002
in-person therapy burlington,69.07,10,44,0,1.848,1.848,11.226600000000001
life transitions therapy,85.29,10,42,0,1.764,1.764,10.7163
online therapy ontario,93.97,10,39,0,1.6380000000000001,1.6380000000000001,9.95085
depression therapy ottawa,91.06,10,34,0,1.4280000000000002,1.4280000000000002,8.6751
young adult therapy,69.63,10,30,0,1.26,1.26,7.6545000000000005
work stress therapy,80.79,10,29,0,1.218,1.218,7.39935
anxiety therapy mississauga,56.04,10,28,0,1.1760000000000002,1.1760000000000002,7.144200000000001
