Keyword,Monthly Volume,Difficulty,Google Ads CPC,Clicks/Month (Pos 1),New Clients/Month (Pos 1),Monthly Revenue (Pos 1),Value/Click (Pos 1),Clicks/Month (Pos 3),New Clients/Month (Pos 3),Monthly Revenue (Pos 3),Value/Click (Pos 3),Price 15% (Pos 1),Price 25% (Pos 1),Price 35% (Pos 1),Price 15% (Pos 3),Price 25% (Pos 3),Price 35% (Pos 3)
therapist Toronto,2400,Hard,$4.50,758.4,13.65,"$18,429.12",$24.30,508.8,9.16,"$12,363.84",$24.30,$2764.37,$4607.28,$6450.19,$1854.58,$3090.96,$4327.34
anxiety therapist Toronto,720,Medium,$5.20,227.5,4.1,"$5,528.74",$24.30,152.6,2.75,"$3,709.15",$24.30,$829.31,$1382.18,$1935.06,$556.37,$927.29,$1298.20
couples therapy Toronto,590,Medium,$4.80,186.4,3.36,"$4,530.49",$24.30,125.1,2.25,"$3,039.44",$24.30,$679.57,$1132.62,$1585.67,$455.92,$759.86,$1063.81
therapist Ottawa,880,Medium,$3.90,278.1,5.01,"$6,757.34",$24.30,186.6,3.36,"$4,533.41",$24.30,$1013.60,$1689.34,$2365.07,$680.01,$1133.35,$1586.69
psychologist Toronto,1100,Hard,$5.50,347.6,6.26,"$8,446.68",$24.30,233.2,4.2,"$5,666.76",$24.30,$1267.00,$2111.67,$2956.34,$850.01,$1416.69,$1983.37
therapy Hamilton,320,Easy,$3.20,101.1,1.82,"$2,457.22",$24.30,67.8,1.22,"$1,648.51",$24.30,$368.58,$614.30,$860.03,$247.28,$412.13,$576.98
counselling Toronto,650,Medium,$4.10,205.4,3.7,"$4,991.22",$24.30,137.8,2.48,"$3,348.54",$24.30,$748.68,$1247.80,$1746.93,$502.28,$837.13,$1171.99
therapist Mississauga,480,Medium,$4.20,151.7,2.73,"$3,685.82",$24.30,101.8,1.83,"$2,472.77",$24.30,$552.87,$921.46,$1290.04,$370.92,$618.19,$865.47
therapy London Ontario,290,Easy,$3.00,91.6,1.65,"$2,226.85",$24.30,61.5,1.11,"$1,493.96",$24.30,$334.03,$556.71,$779.40,$224.09,$373.49,$522.89
therapist near me Toronto,1800,Very Hard,$6.00,568.8,10.24,"$13,821.84",$24.30,381.6,6.87,"$9,272.88",$24.30,$2073.28,$3455.46,$4837.64,$1390.93,$2318.22,$3245.51
marriage counselling Toronto,390,Medium,$4.60,123.2,2.22,"$2,994.73",$24.30,82.7,1.49,"$2,009.12",$24.30,$449.21,$748.68,$1048.16,$301.37,$502.28,$703.19
family therapy Toronto,320,Medium,$4.40,101.1,1.82,"$2,457.22",$24.30,67.8,1.22,"$1,648.51",$24.30,$368.58,$614.30,$860.03,$247.28,$412.13,$576.98
therapist Kitchener,210,Easy,$2.80,66.4,1.19,"$1,612.55",$24.30,44.5,0.8,"$1,081.84",$24.30,$241.88,$403.14,$564.39,$162.28,$270.46,$378.64
therapy Windsor Ontario,180,Easy,$2.60,56.9,1.02,"$1,382.18",$24.30,38.2,0.69,$927.29,$24.30,$207.33,$345.55,$483.76,$139.09,$231.82,$324.55
therapist Brampton,350,Medium,$3.80,110.6,1.99,"$2,687.58",$24.30,74.2,1.34,"$1,803.06",$24.30,$403.14,$671.89,$940.65,$270.46,$450.76,$631.07
